R[MAGRATHEA-iron-1000k],M[MAGRATHEA-iron-1000k],R[Reinhardt2022],M[Reinhardt2022],R[b0d0_80kms],M[b0d0_80kms],R[b0d3_80kms],M[b0d3_80kms],R[b0d5_80kms],M[b0d5_80kms],R[b0d7_80kms],M[b0d7_80kms],R[b0d3_160kms],M[b0d3_160kms],R[b0d5_160kms],M[b0d5_160kms],R[b0d7_160kms],M[b0d7_160kms]
2.68357,1.00844,3.353634085213032,1.26991,3.353634085213032,1.19275,7.233290789127754,1.56771,6.801008442734986,1.59184,6.721775675402409,1.63985,10.906527318047157,1.51209,7.448268546905011,1.48734,6.814406408244397,1.58883
2.71361,1.01134,3.3912030075187967,1.27417,3.3912030075187967,1.19689,7.30389723649932,1.57215,6.875544729619214,1.59662,6.797032260171478,1.64454,10.94374070606491,1.51389,7.516920651024056,1.49152,6.8888208954421755,1.59364
2.74365,1.01421,3.428771929824561,1.27839,3.428771929824561,1.20096,7.374503683870886,1.57662,6.950081016503441,1.60137,6.872288844940546,1.64919,10.980954094082662,1.51577,7.585572755143102,1.49567,6.9632353826399545,1.59836
2.77369,1.01706,3.4663408521303256,1.28253,3.4663408521303256,1.205,7.445110131242451,1.58101,7.024617303387669,1.60607,6.947545429709615,1.6538,11.018167482100417,1.51757,7.654224859262147,1.4998,7.0376498698377326,1.60304
2.80373,1.01988,3.50390977443609,1.28669,3.50390977443609,1.20901,7.515716578614017,1.58537,7.099153590271896,1.61074,7.0228020144786845,1.65837,11.055380870118169,1.51945,7.722876963381192,1.50391,7.112064357035511,1.60769
2.83377,1.02268,3.5414786967418546,1.29078,3.5414786967418546,1.21299,7.586323025985584,1.5897,7.173689877156123,1.61538,7.098058599247754,1.6629,11.092594258135922,1.52124,7.791529067500237,1.508,7.186478844233289,1.6123
2.86381,1.02545,3.579047619047619,1.29484,3.579047619047619,1.21695,7.656929473357149,1.59395,7.248226164040351,1.61997,7.173315184016823,1.66738,11.129807646153676,1.5231,7.860181171619283,1.512,7.260893331431067,1.61688
2.89385,1.02819,3.616616541353383,1.29886,3.616616541353383,1.22088,7.727535920728715,1.59823,7.322762450924578,1.62449,7.248571768785892,1.67183,11.167021034171428,1.52489,7.928833275738328,1.51604,7.335307818628845,1.62142
2.92389,1.03092,3.6541854636591475,1.30286,3.6541854636591475,1.22479,7.798142368100281,1.60243,7.397298737808805,1.62897,7.32382835355496,1.67623,11.204234422189181,1.52675,7.997485379857373,1.52,7.409722305826623,1.62587
2.95393,1.03362,3.691754385964912,1.30683,3.691754385964912,1.22867,7.868748815471847,1.6066,7.471835024693033,1.63341,7.399084938324029,1.6806,11.241447810206935,1.52852,8.06613748397642,1.52394,7.484136793024401,1.63035
2.98397,1.03629,3.7293233082706765,1.31077,3.7293233082706765,1.23248,7.939355262843413,1.61075,7.546371311577261,1.63787,7.4743415230930985,1.68493,11.278661198224688,1.5303,8.134789588095463,1.52785,7.558551280222179,1.63474
3.01401,1.03895,3.766892230576441,1.31469,3.766892230576441,1.23631,8.009961710214979,1.61487,7.620907598461487,1.6422,7.549598107862168,1.68917,11.31587458624244,1.53214,8.20344169221451,1.53175,7.632965767419957,1.63909
3.04405,1.04158,3.8044611528822054,1.31854,3.8044611528822054,1.24011,8.080568157586544,1.61892,7.695443885345715,1.64655,7.624854692631237,1.69343,11.353087974260195,1.53391,8.272093796333554,1.53562,7.7073802546177355,1.64342
3.07409,1.04419,3.84203007518797,1.3224,3.84203007518797,1.2439,8.151174604958111,1.62299,7.769980172229943,1.65086,7.700111277400305,1.69765,11.390301362277947,1.53567,8.3407459004526,1.53942,7.7817947418155144,1.64771
3.10413,1.04678,3.8795989974937344,1.32619,3.8795989974937344,1.24761,8.221781052329677,1.62699,7.84451645911417,1.65509,7.775367862169374,1.70179,11.4275147502957,1.53743,8.409398004571646,1.54325,7.8562092290132925,1.65193
3.13417,1.04935,3.9171679197994984,1.32996,3.9171679197994984,1.25135,8.292387499701242,1.63097,7.919052745998397,1.65934,7.850624446938443,1.70594,11.464728138313454,1.53919,8.47805010869069,1.54701,7.930623716211071,1.65616
3.16421,1.0519,3.954736842105263,1.3337,3.954736842105263,1.25501,8.362993947072809,1.63492,7.993589032882625,1.66352,7.925881031707513,1.71001,11.501941526331207,1.54102,8.546702212809736,1.5508,8.005038203408848,1.66031
3.19425,1.05442,3.9923057644110274,1.33742,3.9923057644110274,1.2587,8.433600394444374,1.63884,8.068125319766851,1.66766,8.001137616476582,1.71409,11.53915491434896,1.54277,8.615354316928782,1.55452,8.079452690606626,1.66448
3.22429,1.05693,4.029874686716791,1.34112,4.029874686716791,1.26233,8.50420684181594,1.64275,8.14266160665108,1.67177,8.07639420124565,1.71809,11.576368302366713,1.54452,8.684006421047826,1.55822,8.153867177804404,1.66858
3.25433,1.05942,4.067443609022556,1.34479,4.067443609022556,1.26597,8.574813289187507,1.64658,8.217197893535307,1.67585,8.15165078601472,1.72211,11.613581690384466,1.54626,8.752658525166872,1.5619,8.228281665002182,1.67264
3.28437,1.06189,4.10501253132832,1.34843,4.10501253132832,1.26955,8.645419736559072,1.65044,8.291734180419533,1.67991,8.226907370783788,1.72605,11.650795078402219,1.548,8.821310629285918,1.56556,8.30269615219996,1.67668
3.31441,1.06434,4.142581453634085,1.35202,4.142581453634085,1.27316,8.716026183930637,1.65422,8.36627046730376,1.68393,8.302163955552858,1.72995,11.688008466419973,1.54973,8.889962733404962,1.56914,8.377110639397738,1.68068
3.34445,1.06677,4.180150375939849,1.35562,4.180150375939849,1.2767,8.786632631302204,1.65799,8.440806754187989,1.68793,8.377420540321927,1.73388,11.725221854437725,1.55147,8.958614837524008,1.57277,8.451525126595516,1.68467
3.37449,1.06918,4.217719298245614,1.35915,4.217719298245614,1.28022,8.85723907867377,1.66173,8.515343041072216,1.69185,8.452677125090995,1.73772,11.762435242455478,1.55312,9.027266941643054,1.57631,8.525939613793295,1.68862
